op0,op1,op2,op3,op4,op5,op6,op7,op8,op9,op10,op11,op12,op13,op14,op15,op16,op17,op18,op19,power
1,13,4,9,2,7,5,8,2,10,2,12,8,9,4,2,5,5,12,7,2626.20
1,11,6,9,3,7,12,11,8,13,13,7,7,11,6,7,2,10,2,13,2599.27
1,3,13,3,4,4,10,5,5,11,9,5,3,4,6,4,13,4,7,6,2570.84
1,3,3,13,5,6,5,6,13,11,8,6,4,4,7,13,4,9,2,3,2582.14
1,7,11,8,6,13,4,3,4,3,10,10,7,13,5,13,7,2,13,7,2591.64
1,6,2,13,3,4,6,4,5,12,8,8,3,5,7,3,13,2,13,9,2631.58
1,7,2,4,6,5,13,9,6,3,3,9,4,2,9,9,11,12,6,4,2563.75
1,3,3,4,11,13,13,3,13,7,10,8,11,11,11,13,10,4,12,2,2611.48
1,7,4,2,2,7,7,12,13,6,2,11,10,13,4,3,6,5,11,2,2567.22
1,12,5,4,7,13,9,12,8,4,12,3,13,11,2,13,4,6,8,6,2573.56
1,12,5,5,9,9,7,7,13,8,6,9,10,9,8,8,2,9,12,5,2625.78
1,6,9,13,13,5,12,11,9,9,12,5,13,4,12,12,4,6,11,3,2592.07
1,5,12,10,12,5,12,12,6,12,11,12,12,6,13,3,11,3,6,10,2595.43
1,6,10,6,4,8,2,4,11,8,11,7,3,6,10,2,6,10,5,12,2576.39
1,4,6,7,6,2,6,6,10,4,13,3,3,11,7,4,6,7,10,11,2587.91
1,13,12,5,9,10,10,8,10,4,4,5,7,9,7,4,13,8,12,5,2623.70
1,6,10,8,6,5,7,11,8,11,2,12,4,6,8,5,11,13,5,12,2597.82
1,4,3,9,5,2,12,7,9,11,6,7,8,6,13,13,12,10,6,9,2566.15
1,2,4,3,5,10,9,2,7,8,6,7,3,8,6,8,2,12,3,9,2624.50
1,7,2,5,10,6,4,4,11,4,6,13,3,8,5,12,7,11,13,13,2567.75
1,7,11,7,4,6,6,12,10,3,8,6,6,9,9,8,7,5,13,9,2591.30
1,13,7,11,13,11,8,6,9,12,5,4,7,8,9,8,5,9,4,5,2579.87
1,8,8,6,13,13,12,4,11,10,6,10,9,6,6,9,4,6,13,7,2570.79
1,5,6,4,12,11,13,8,9,2,13,13,8,9,13,5,2,11,11,11,2614.22
1,13,13,2,2,13,11,13,9,5,5,3,5,6,2,6,12,2,11,13,2580.75
1,9,2,11,8,2,13,7,8,7,5,9,12,9,5,7,13,2,4,4,2574.66
1,9,3,11,11,11,12,12,12,7,12,7,7,10,3,3,5,13,5,9,2625.42
1,12,4,2,9,2,3,5,4,9,3,10,4,5,9,8,3,10,5,6,2634.67
1,9,3,12,6,4,12,3,5,5,12,8,3,8,4,3,13,2,11,7,2574.92
1,4,11,13,13,13,7,2,3,3,9,6,7,3,10,7,8,6,6,9,2573.08
1,4,11,13,6,6,2,7,3,12,5,4,13,12,11,2,12,3,10,5,2581.78
1,6,9,8,6,10,12,2,10,3,2,7,6,11,2,7,6,10,6,10,2573.46
1,8,13,7,12,7,10,2,9,3,12,10,4,4,8,2,4,4,6,9,2622.18
1,5,3,2,4,10,2,3,8,8,10,11,9,2,6,4,5,5,6,5,2575.13
1,12,9,3,3,7,7,4,4,10,8,6,13,6,2,6,10,5,2,12,2626.32
1,3,6,3,11,10,12,9,7,10,13,2,13,4,3,13,7,3,5,3,2570.18
1,13,10,12,4,9,6,9,10,13,10,8,9,10,6,12,10,4,7,13,2623.18
1,5,3,7,10,2,12,4,5,6,3,3,11,2,3,4,3,4,3,9,2571.70
1,10,13,9,2,6,5,5,13,7,7,7,5,12,6,4,11,4,12,3,2568.22
1,10,4,6,5,11,2,6,11,9,3,2,8,6,12,13,8,11,7,2,2607.28
1,5,11,5,7,12,9,8,10,13,12,2,11,2,12,6,2,11,9,6,2607.31
1,6,7,5,9,4,9,10,3,12,10,4,11,7,9,11,7,10,6,7,2603.41
1,8,5,4,13,8,13,2,12,8,2,6,8,11,3,5,6,10,4,2,2572.15
1,7,5,3,7,8,12,5,4,13,2,13,11,5,8,3,12,3,13,5,2575.06
1,2,8,6,10,8,8,4,4,10,8,7,9,9,12,12,8,5,10,5,2624.61
1,13,7,4,13,9,4,5,12,10,12,12,2,5,5,8,2,3,3,7,2627.45
1,12,12,10,4,12,2,7,7,12,6,2,4,7,13,10,13,4,10,9,2625.71
1,2,5,3,8,10,13,12,9,13,8,11,6,13,13,2,7,9,5,5,2569.31
1,6,9,2,9,3,8,2,9,7,12,9,6,2,2,12,12,3,2,7,2633.25
1,4,10,12,11,6,7,12,13,12,2,4,6,5,3,7,9,8,12,11,2588.97
1,9,7,5,12,6,4,13,6,2,10,9,6,9,11,4,6,8,7,3,2567.65
1,6,2,5,13,10,7,7,7,12,12,4,13,3,8,5,11,8,8,10,2588.97
1,12,2,8,9,6,5,8,4,13,6,11,12,12,4,7,5,7,6,7,2565.77
1,9,12,12,4,12,8,5,13,2,11,6,9,4,2,12,13,7,8,6,2567.30
1,13,7,8,13,3,12,11,11,4,13,10,3,13,10,11,7,3,12,3,2578.63
1,2,7,8,12,11,12,6,13,12,13,7,2,9,8,6,8,5,13,10,2563.15
1,6,10,9,2,9,3,6,9,3,2,5,10,11,8,3,5,6,11,7,2595.38
1,2,2,2,5,9,5,6,4,6,6,8,2,5,3,9,6,13,11,9,2571.82
1,5,3,4,8,8,3,3,6,12,2,9,4,13,12,12,2,13,9,13,2625.12
1,4,3,3,5,6,4,5,3,13,11,8,8,13,10,2,12,9,2,5,2566.28
1,3,11,5,7,9,5,9,9,10,12,10,11,13,3,5,5,9,4,3,2598.05
1,11,13,13,7,11,7,2,11,10,8,6,5,2,13,9,2,5,5,13,2607.23
1,8,12,4,7,11,2,11,9,8,8,6,7,3,8,3,5,12,9,9,2573.92
1,13,5,9,9,7,10,13,4,7,13,7,8,2,3,3,6,13,5,4,2628.49
1,12,3,6,12,8,3,3,6,3,3,8,11,13,5,13,10,11,6,6,2585.88
1,2,6,12,5,9,7,2,13,5,9,7,5,11,13,10,6,3,12,7,2579.61
1,9,7,6,8,8,5,4,8,12,4,3,3,3,12,13,13,12,13,9,2626.27
1,9,10,10,6,8,11,7,11,5,11,8,5,13,13,8,4,11,5,11,2605.77
1,4,8,2,13,7,9,3,13,11,13,8,9,9,5,8,5,10,6,10,2570.78
1,2,7,2,4,7,6,9,4,8,5,10,7,8,7,12,2,11,13,2,2548.96
1,13,10,5,12,3,13,5,9,9,11,2,3,5,5,2,12,7,3,12,2565.06
